;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
11101;Berufe in der Landwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;Occupations in farming (without specialisation)-unskilled/semiskilled tasks;9211;Hilfsarbeiter im Ackerbau;Crop farm labourers;0;1;
11101;Berufe in der Landwirtschaft (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;Occupations in farming (without specialisation)-unskilled/semiskilled tasks;9213;Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt);Mixed crop and livestock farm labourers;0;2;
11102;Berufe in der Landwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in farming (without specialisation)-skilled tasks;6111;Ackerbauern und Gemüseanbauer;Field crop and vegetable growers;0;2;
11102;Berufe in der Landwirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in farming (without specialisation)-skilled tasks;6130;Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt);Mixed crop and animal producers;0;1;
11103;Berufe in der Landwirtschaft (ohne Spezialisierung) - komplexe Spezialistentätigkeiten;Occupations in farming (without specialisation)-complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
