"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"1",0,"1111","Arbeiter*innen & Angestellte",1,0,0,8800,4,2,"Angehörige gesetzgebender Körperschaften","1110","1110","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","64.00"
"2",5,"1112","Arbeiter*innen & Angestellte",1,0,0,15410,4,2,"Leitende Verwaltungsbedienstete","1120","1110","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","66.84"
"3",10,"1113","Arbeiter*innen & Angestellte",1,0,0,0,4,2,"Traditionelle Dorf- und Stammeshäuptlinge","1130","1110","Expert managers","Skilled workers","'(Associate) managers'","'II  Service class II'","42.00"
"4",15,"1114","Arbeiter*innen & Angestellte",1,0,0,6100,4,2,"Leitende Bedienstete von Interessenorganisationen","1140","1140","Expert managers","Skilled workers","'(Associate) managers'","'II  Service class II'","54.88"
"5",20,"1120","Arbeiter*innen & Angestellte",1,0,0,244550,4,2,"Geschäftsführer und Vorstände","1210","1210","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","64.51"
"6",25,"1211","Arbeiter*innen & Angestellte",1,0,0,60350,4,2,"Führungskräfte im Bereich Finanzen","1231","1231","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","49.00"
"7",30,"1212","Arbeiter*innen & Angestellte",1,0,0,58530,4,2,"Führungskräfte im Personalwesen","1232","1232","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","58.00"
"8",35,"1213","Arbeiter*innen & Angestellte",1,0,0,12900,4,2,"Führungskräfte in Unternehmenspolitik und -planung","1239","1239","Expert managers","Skilled workers","'(Associate) managers'","'I   Service class I'","53.28"
"9",40,"1219","Arbeiter*innen & Angestellte",1,0,0,97710,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt","1229","1229","Skilled manager/superv","Skilled workers","'(Associate) managers'","'I   Service class I'","53.28"
"10",45,"1221","Arbeiter*innen & Angestellte",1,0,0,162370,4,2,"Führungskräfte in Vertrieb und Marketing","1233","1233","Skilled manager/superv","Skilled workers","'(Associate) managers'","'I   Service class I'","52.00"
