,ISCO-Code,Stellung im Beruf,is_supervisor,self_employed,n_employees,Anzahl,control_work,control_daily,Bezeichnung
0,1111,Arbeiter*innen & Angestellte,1,0,0.0,8800,4,2,Angehörige gesetzgebender Körperschaften
5,1112,Arbeiter*innen & Angestellte,1,0,0.0,15410,4,2,Leitende Verwaltungsbedienstete
10,1113,Arbeiter*innen & Angestellte,1,0,0.0,0,4,2,Traditionelle Dorf- und Stammeshäuptlinge
15,1114,Arbeiter*innen & Angestellte,1,0,0.0,6100,4,2,Leitende Bedienstete von Interessenorganisationen
20,1120,Arbeiter*innen & Angestellte,1,0,0.0,244550,4,2,Geschäftsführer und Vorstände
25,1211,Arbeiter*innen & Angestellte,1,0,0.0,60350,4,2,Führungskräfte im Bereich Finanzen
30,1212,Arbeiter*innen & Angestellte,1,0,0.0,58530,4,2,Führungskräfte im Personalwesen
35,1213,Arbeiter*innen & Angestellte,1,0,0.0,12900,4,2,Führungskräfte in Unternehmenspolitik und -planung
40,1219,Arbeiter*innen & Angestellte,1,0,0.0,97710,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt"
45,1221,Arbeiter*innen & Angestellte,1,0,0.0,162370,4,2,Führungskräfte in Vertrieb und Marketing
50,1222,Arbeiter*innen & Angestellte,1,0,0.0,29830,4,2,Führungskräfte in Werbung und Öffentlichkeitsarbeit
55,1223,Arbeiter*innen & Angestellte,1,0,0.0,13740,4,2,Führungskräfte in Forschung und Entwicklung
60,1311,Arbeiter*innen & Angestellte,1,0,0.0,570,4,2,Führungskräfte in der Produktion in Land- und Forstwirtschaft
65,1312,Arbeiter*innen & Angestellte,1,0,0.0,0,4,2,Führungskräfte in der Produktion in Aquakultur und Fischerei
70,1321,Arbeiter*innen & Angestellte,1,0,0.0,137890,4,2,Führungskräfte in der Produktion bei der Herstellung von Waren
75,1322,Arbeiter*innen & Angestellte,1,0,0.0,3540,4,2,Führungskräfte in der Produktion im Bergbau
80,1323,Arbeiter*innen & Angestellte,1,0,0.0,93430,4,2,Führungskräfte in der Produktion im Bau
