,ISCO-Code,Berufsgattung(ISCO-Stufe 4),Anzahl,percent,fraktion,major_group
1,0110,Offiziere in regulären Streitkräften,22030,0.053674825093894395,,Streitkräfte
2,0210,Unteroffiziere in regulären Streitkräften ,22020,0.053650460670338386,,Streitkräfte
3,0310,Angehörige der regulären Streitkräfte in sonstigen Rängen,107160,0.2610891628262244,,Streitkräfte
4,1111,Angehörige gesetzgebender Körperschaften,9740,0.02373094854355567,Top Management,Führungskräfte
5,1112,Leitende Verwaltungsbedienstete,15660,0.03815468728871476,Top Management,Führungskräfte
6,1114,Leitende Bedienstete von Interessenorganisationen,6280,0.015300857993175526,Top Management,Führungskräfte
7,1120,Geschäftsführer und Vorstände,487470,1.1876925550849162,Top Management,Führungskräfte
8,1211,Führungskräfte im Bereich Finanzen,61810,0.15059650199971006,Mittleres Management,Führungskräfte
9,1212,Führungskräfte im Personalwesen,59510,0.14499268458182732,Mittleres Management,Führungskräfte
10,1213,Führungskräfte in Unternehmenspolitik und -planung,12940,0.031527564081479505,Mittleres Management,Führungskräfte
11,1219,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",107630,0.26223429073335697,Mittleres Management,Führungskräfte
12,1221,Führungskräfte in Vertrieb und Marketing,167690,0.40856701861076494,Mittleres Management,Führungskräfte
13,1222,Führungskräfte in Werbung und Öffentlichkeitsarbeit,33210,0.0809142506295158,Mittleres Management,Führungskräfte
14,1223,Führungskräfte in Forschung und Entwicklung,14130,0.03442693048464493,Mittleres Management,Führungskräfte
15,1311,Führungskräfte in der Produktion in Land- und Forstwirtschaft,860,0.0020953404258170307,Mittleres Management,Führungskräfte
16,1312,Führungskräfte in der Produktion in Aquakultur und Fischerei,0,0.0,Mittleres Management,Führungskräfte
17,1321,Führungskräfte in der Produktion bei der Herstellung von Waren,140680,0.34275871058597657,Mittleres Management,Führungskräfte
18,1322,Führungskräfte in der Produktion im Bergbau ,3720,0.009063565562836457,,Führungskräfte
19,1323,Führungskräfte in der Produktion im Bau ,105750,0.25765377910482673,,Führungskräfte
20,1324,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",96300,0.2346293988443954,Mittleres Management,Führungskräfte
21,1330,Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,97750,0.23816224026001714,Mittleres Management,Führungskräfte
22,1341,Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung,27250,0.06639305419013265,Mittleres Management,Führungskräfte
23,1342,Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen,55410,0.13500327092386238,Mittleres Management,Führungskräfte
24,1343,Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung,11460,0.02792162939518973,Mittleres Management,Führungskräfte
25,1344,Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge,16860,0.04107841811543621,Mittleres Management,Führungskräfte
26,1345,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,32230,0.07852653712102663,Mittleres Management,Führungskräfte
27,1346,Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen,20200,0.04921613558314421,Mittleres Management,Führungskräfte
28,1349,"Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt",45710,0.11136978007453079,Mittleres Management,Führungskräfte
29,1411,Führungskräfte in Hotels ,19980,0.04868011826491194,,Führungskräfte
30,1412,Führungskräfte in Restaurants,123700,0.30138791938786824,Mittleres Management,Führungskräfte
31,1420,Führungskräfte in Groß- und Einzelhandel,78830,0.19206475089204247,Mittleres Management,Führungskräfte
32,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",18000,0.04385596240082157,Mittleres Management,Führungskräfte
33,1439,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",6260,0.015252129146063501,Mittleres Management,Führungskräfte
34,2111,Physiker und Astronomen,23150,0.056403640532167745,Hochspezialisierte Beschäftigte,Akademische Berufe
35,2112,Meteorologen,1540,0.0037521212276258454,Hochspezialisierte Beschäftigte,Akademische Berufe
36,2113,Chemiker,29400,0.07163140525467523,Hochspezialisierte Beschäftigte,Akademische Berufe
37,2114,Geologen und Geophysiker,11060,0.026947052452949254,Hochspezialisierte Beschäftigte,Akademische Berufe
38,2120,"Mathematiker, Versicherungsmathematiker und Statistiker",27280,0.06646614746080068,Hochspezialisierte Beschäftigte,Akademische Berufe
39,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",41730,0.101672739499238,Hochspezialisierte Beschäftigte,Akademische Berufe
40,2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",55410,0.13500327092386238,Hochspezialisierte Beschäftigte,Akademische Berufe
41,2133,Umweltwissenschaftler,22060,0.05374791836456243,Hochspezialisierte Beschäftigte,Akademische Berufe
42,2141,Wirtschafts- und Produktionsingenieure,147960,0.3604960109347533,Hochspezialisierte Beschäftigte,Akademische Berufe
43,2142,Bauingenieure,104850,0.25546098098478565,Hochspezialisierte Beschäftigte,Akademische Berufe
44,2143,Umweltschutzingenieure,16750,0.04081040945632007,Hochspezialisierte Beschäftigte,Akademische Berufe
45,2144,Maschinenbauingenieure,293490,0.7150714669453957,Hochspezialisierte Beschäftigte,Akademische Berufe
46,2145,Chemieingenieure,43950,0.10708164152867267,Hochspezialisierte Beschäftigte,Akademische Berufe
47,2146,"Bergbauingenieure, Metallurgen und verwandte Berufe",19660,0.04790045671111956,Hochspezialisierte Beschäftigte,Akademische Berufe
