,ISCO-Code,major_group,Berufsgattung(ISCO-Stufe 4),modifiziert_livingstone
1,110,Streitkräfte,Offiziere in regulären Streitkräften,
2,210,Streitkräfte,Unteroffiziere in regulären Streitkräften ,
3,310,Streitkräfte,Angehörige der regulären Streitkräfte in sonstigen Rängen,
4,1111,Führungskräfte,Angehörige gesetzgebender Körperschaften,Top Management
5,1112,Führungskräfte,Leitende Verwaltungsbedienstete,Top Management
6,1114,Führungskräfte,Leitende Bedienstete von Interessenorganisationen,Top Management
7,1120,Führungskräfte,Geschäftsführer und Vorstände,Top Management
8,1211,Führungskräfte,Führungskräfte im Bereich Finanzen,Mittleres Management
9,1212,Führungskräfte,Führungskräfte im Personalwesen,Mittleres Management
10,1213,Führungskräfte,Führungskräfte in Unternehmenspolitik und -planung,Mittleres Management
11,1219,Führungskräfte,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",Mittleres Management
12,1221,Führungskräfte,Führungskräfte in Vertrieb und Marketing,Mittleres Management
13,1222,Führungskräfte,Führungskräfte in Werbung und Öffentlichkeitsarbeit,Mittleres Management
14,1223,Führungskräfte,Führungskräfte in Forschung und Entwicklung,Mittleres Management
15,1311,Führungskräfte,Führungskräfte in der Produktion in Land- und Forstwirtschaft,Mittleres Management
16,1312,Führungskräfte,Führungskräfte in der Produktion in Aquakultur und Fischerei,Mittleres Management
17,1321,Führungskräfte,Führungskräfte in der Produktion bei der Herstellung von Waren,Mittleres Management
18,1322,Führungskräfte,Führungskräfte in der Produktion im Bergbau,Mittleres Management
19,1323,Führungskräfte,Führungskräfte in der Produktion im Bau,Mittleres Management
20,1324,Führungskräfte,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",Mittleres Management
21,1330,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,Mittleres Management
22,1341,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung,Mittleres Management
23,1342,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen,Mittleres Management
24,1343,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung,Mittleres Management
25,1344,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge,Mittleres Management
26,1345,Führungskräfte,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,Mittleres Management
27,1346,Führungskräfte,Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen,Mittleres Management
28,1349,Führungskräfte,"Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt",Mittleres Management
29,1411,Führungskräfte,Führungskräfte in Hotels,Mittleres Management
30,1412,Führungskräfte,Führungskräfte in Restaurants,Mittleres Management
31,1420,Führungskräfte,Führungskräfte in Groß- und Einzelhandel,Mittleres Management
32,1431,Führungskräfte,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",Mittleres Management
33,1439,Führungskräfte,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",Mittleres Management
34,2111,Akademische Berufe,Physiker und Astronomen,Hochspezialisierte Beschäftigte
35,2112,Akademische Berufe,Meteorologen,Hochspezialisierte Beschäftigte
36,2113,Akademische Berufe,Chemiker,Hochspezialisierte Beschäftigte
37,2114,Akademische Berufe,Geologen und Geophysiker,Hochspezialisierte Beschäftigte
38,2120,Akademische Berufe,"Mathematiker, Versicherungsmathematiker und Statistiker",Hochspezialisierte Beschäftigte
39,2131,Akademische Berufe,"Biologen, Botaniker, Zoologen und verwandte Berufe",Hochspezialisierte Beschäftigte
40,2132,Akademische Berufe,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",Hochspezialisierte Beschäftigte
41,2133,Akademische Berufe,Umweltwissenschaftler,Hochspezialisierte Beschäftigte
42,2141,Akademische Berufe,Wirtschafts- und Produktionsingenieure,Hochspezialisierte Beschäftigte
43,2142,Akademische Berufe,Bauingenieure,Hochspezialisierte Beschäftigte
44,2143,Akademische Berufe,Umweltschutzingenieure,Hochspezialisierte Beschäftigte
45,2144,Akademische Berufe,Maschinenbauingenieure,Hochspezialisierte Beschäftigte
46,2145,Akademische Berufe,Chemieingenieure,Hochspezialisierte Beschäftigte
47,2146,Akademische Berufe,"Bergbauingenieure, Metallurgen und verwandte Berufe",Hochspezialisierte Beschäftigte
48,2149,Akademische Berufe,"Ingenieure, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
49,2151,Akademische Berufe,Ingenieure im Bereich Elektrotechnik,Hochspezialisierte Beschäftigte
50,2152,Akademische Berufe,Ingenieure im Bereich Elektronik,Hochspezialisierte Beschäftigte
51,2153,Akademische Berufe,Ingenieure im Bereich Telekommunikationstechnik,Hochspezialisierte Beschäftigte
52,2161,Akademische Berufe,Architekten,Hochspezialisierte Beschäftigte
53,2162,Akademische Berufe,Landschaftsarchitekten,Hochspezialisierte Beschäftigte
54,2163,Akademische Berufe,Produkt- und Textildesigner,Hochspezialisierte Beschäftigte
55,2164,Akademische Berufe,"Raum-, Stadt- und Verkehrsplaner",Hochspezialisierte Beschäftigte
56,2165,Akademische Berufe,Kartografen und Vermessungsingenieure,Hochspezialisierte Beschäftigte
57,2166,Akademische Berufe,Grafik- und Multimediadesigner,Hochspezialisierte Beschäftigte
58,2211,Akademische Berufe,Allgemeinärzte,Hochspezialisierte Beschäftigte
59,2212,Akademische Berufe,Fachärzte,Hochspezialisierte Beschäftigte
60,2221,Akademische Berufe,Akademische und vergleichbare Krankenpflegefachkräfte,Hochspezialisierte Beschäftigte
61,2222,Akademische Berufe,Akademische und vergleichbare Geburtshilfefachkräfte,Hochspezialisierte Beschäftigte
62,2230,Akademische Berufe,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin,Hochspezialisierte Beschäftigte
63,2240,Akademische Berufe,Feldscher und vergleichbare paramedizinische Praktiker,Hochspezialisierte Beschäftigte
64,2250,Akademische Berufe,Tierärzte,Hochspezialisierte Beschäftigte
65,2261,Akademische Berufe,Zahnärzte,Hochspezialisierte Beschäftigte
66,2262,Akademische Berufe,Apotheker,Hochspezialisierte Beschäftigte
67,2263,Akademische Berufe,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene,Hochspezialisierte Beschäftigte
68,2264,Akademische Berufe,Physiotherapeuten,Hochspezialisierte Beschäftigte
69,2265,Akademische Berufe,Diätologen und Ernährungsberater,Hochspezialisierte Beschäftigte
70,2266,Akademische Berufe,Audiologen und Sprachtherapeuten,Hochspezialisierte Beschäftigte
71,2267,Akademische Berufe,Optometristen und Orthoptisten,Hochspezialisierte Beschäftigte
72,2269,Akademische Berufe,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
73,2310,Akademische Berufe,Universitäts- und Hochschullehrer,Hochspezialisierte Beschäftigte
74,2320,Akademische Berufe,Lehrkräfte im Bereich Berufsbildung,Hochspezialisierte Beschäftigte
75,2330,Akademische Berufe,Lehrkräfte im Sekundarbereich,Hochspezialisierte Beschäftigte
76,2341,Akademische Berufe,Lehrkräfte im Primarbereich,Hochspezialisierte Beschäftigte
77,2342,Akademische Berufe,Lehrkräfte und Erzieher im Vorschulbereich,Hochspezialisierte Beschäftigte
78,2351,Akademische Berufe,Pädagogik- und Didaktikspezialisten,Hochspezialisierte Beschäftigte
79,2352,Akademische Berufe,Lehrkräfte im Bereich Sonderpädagogik,Hochspezialisierte Beschäftigte
80,2353,Akademische Berufe,Sonstige Sprachlehrer,Hochspezialisierte Beschäftigte
81,2354,Akademische Berufe,Sonstige Musiklehrer,Hochspezialisierte Beschäftigte
82,2355,Akademische Berufe,Sonstige Kunstlehrer,Hochspezialisierte Beschäftigte
83,2356,Akademische Berufe,Ausbilder im Bereich Informationstechnologie,Hochspezialisierte Beschäftigte
84,2359,Akademische Berufe,"Lehrkräfte, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
85,2411,Akademische Berufe,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",Hochspezialisierte Beschäftigte
86,2412,Akademische Berufe,Finanz- und Anlageberater,Hochspezialisierte Beschäftigte
87,2413,Akademische Berufe,Finanzanalysten,Hochspezialisierte Beschäftigte
88,2421,Akademische Berufe,Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse,Hochspezialisierte Beschäftigte
89,2422,Akademische Berufe,Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft,Hochspezialisierte Beschäftigte
90,2423,Akademische Berufe,Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute,Hochspezialisierte Beschäftigte
91,2424,Akademische Berufe,Fachkräfte in Personalschulung und -entwicklung,Hochspezialisierte Beschäftigte
92,2431,Akademische Berufe,Akademische und vergleichbare Fachkräfte in Werbung und Marketing,Hochspezialisierte Beschäftigte
93,2432,Akademische Berufe,Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit,Hochspezialisierte Beschäftigte
94,2433,Akademische Berufe,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",Hochspezialisierte Beschäftigte
95,2434,Akademische Berufe,Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie,Hochspezialisierte Beschäftigte
96,2511,Akademische Berufe,Systemanalytiker,Hochspezialisierte Beschäftigte
97,2512,Akademische Berufe,Softwareentwickler,Hochspezialisierte Beschäftigte
98,2513,Akademische Berufe,Web- und Multimediaentwickler,Hochspezialisierte Beschäftigte
99,2514,Akademische Berufe,Anwendungsprogrammierer,Hochspezialisierte Beschäftigte
100,2519,Akademische Berufe,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
101,2521,Akademische Berufe,Datenbankentwickler und -administratoren,Hochspezialisierte Beschäftigte
102,2522,Akademische Berufe,Systemadministratoren,Hochspezialisierte Beschäftigte
103,2523,Akademische Berufe,Akademische und vergleichbare Fachkräfte für Computernetzwerke,Hochspezialisierte Beschäftigte
104,2529,Akademische Berufe,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
105,2611,Akademische Berufe,Anwälte,Hochspezialisierte Beschäftigte
106,2612,Akademische Berufe,Richter,Hochspezialisierte Beschäftigte
107,2619,Akademische Berufe,"Juristen, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
108,2621,Akademische Berufe,Archiv- und Museumswissenschaftler,Hochspezialisierte Beschäftigte
109,2622,Akademische Berufe,Bibliothekswissenschaftler und verwandte Informationswissenschaftler,Hochspezialisierte Beschäftigte
110,2631,Akademische Berufe,Volkswirtschaftler,Hochspezialisierte Beschäftigte
111,2632,Akademische Berufe,"Soziologen, Anthropologen und verwandte Wissenschaftler",Hochspezialisierte Beschäftigte
112,2633,Akademische Berufe,"Philosophen, Historiker und Politologen",Hochspezialisierte Beschäftigte
113,2634,Akademische Berufe,Psychologen,Hochspezialisierte Beschäftigte
114,2635,Akademische Berufe,Sozialarbeiter,Hochspezialisierte Beschäftigte
115,2636,Akademische Berufe,"Geistliche, Seelsorger",Hochspezialisierte Beschäftigte
116,2641,Akademische Berufe,Autoren und verwandte schriftstellerische Berufe,Hochspezialisierte Beschäftigte
117,2642,Akademische Berufe,Journalisten,Hochspezialisierte Beschäftigte
118,2643,Akademische Berufe,"Übersetzer, Dolmetscher und andere Linguisten",Hochspezialisierte Beschäftigte
119,2651,Akademische Berufe,Bildende Künstler,Hochspezialisierte Beschäftigte
120,2652,Akademische Berufe,"Musiker, Sänger und Komponisten",Hochspezialisierte Beschäftigte
121,2653,Akademische Berufe,Tänzer und Choreografen,Hochspezialisierte Beschäftigte
122,2654,Akademische Berufe,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,Hochspezialisierte Beschäftigte
123,2655,Akademische Berufe,Schauspieler,Hochspezialisierte Beschäftigte
124,2656,Akademische Berufe,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",Hochspezialisierte Beschäftigte
125,2659,Akademische Berufe,"Bildende und darstellende Künstler, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
126,3111,Techniker und gleichrangige nichttechnische Berufe,Chemo- und Physikotechniker,Hochspezialisierte Beschäftigte
127,3112,Techniker und gleichrangige nichttechnische Berufe,Bautechniker,Hochspezialisierte Beschäftigte
128,3113,Techniker und gleichrangige nichttechnische Berufe,Elektrotechniker,Hochspezialisierte Beschäftigte
129,3114,Techniker und gleichrangige nichttechnische Berufe,Techniker im Bereich Elektronik,Hochspezialisierte Beschäftigte
130,3115,Techniker und gleichrangige nichttechnische Berufe,Maschinenbautechniker,Hochspezialisierte Beschäftigte
131,3116,Techniker und gleichrangige nichttechnische Berufe,Chemiebetriebs- und Verfahrenstechniker,Hochspezialisierte Beschäftigte
132,3117,Techniker und gleichrangige nichttechnische Berufe,Bergbau- und Hüttentechniker,Hochspezialisierte Beschäftigte
133,3118,Techniker und gleichrangige nichttechnische Berufe,Technische Zeichner,Hochspezialisierte Beschäftigte
134,3119,Techniker und gleichrangige nichttechnische Berufe,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
135,3121,Techniker und gleichrangige nichttechnische Berufe,Produktionsleiter im Bergbau,Anleitende Beschäftigte
136,3122,Techniker und gleichrangige nichttechnische Berufe,Produktionsleiter bei der Herstellung von Waren,Anleitende Beschäftigte
137,3123,Techniker und gleichrangige nichttechnische Berufe,Bauleiter,Anleitende Beschäftigte
138,3131,Techniker und gleichrangige nichttechnische Berufe,Steuerer von Energieerzeugungsanlagen,Hochspezialisierte Beschäftigte
139,3132,Techniker und gleichrangige nichttechnische Berufe,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,Hochspezialisierte Beschäftigte
140,3133,Techniker und gleichrangige nichttechnische Berufe,Steuerer von chemischen Verfahrensanlagen,Hochspezialisierte Beschäftigte
141,3134,Techniker und gleichrangige nichttechnische Berufe,Steurer von Erdöl- und Erdgasraffinationsanlagen,Hochspezialisierte Beschäftigte
142,3135,Techniker und gleichrangige nichttechnische Berufe,Steuerer von Verfahren in der Metallerzeugung,Hochspezialisierte Beschäftigte
143,3139,Techniker und gleichrangige nichttechnische Berufe,"Techniker in der Prozesssteuerung, anderweitig nicht genannt",Hochspezialisierte Beschäftigte
144,3141,Techniker und gleichrangige nichttechnische Berufe,Biotechniker (ohne medizinische Fachberufe),Hochspezialisierte Beschäftigte
145,3142,Techniker und gleichrangige nichttechnische Berufe,Agrartechniker,Hochspezialisierte Beschäftigte
146,3143,Techniker und gleichrangige nichttechnische Berufe,Forsttechniker,Hochspezialisierte Beschäftigte
147,3151,Techniker und gleichrangige nichttechnische Berufe,Technische Schiffsoffiziere,Hochspezialisierte Beschäftigte
148,3152,Techniker und gleichrangige nichttechnische Berufe,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",Anleitende Beschäftigte
149,3153,Techniker und gleichrangige nichttechnische Berufe,Flugzeugführer und verwandte Berufe,Anleitende Beschäftigte
150,3154,Techniker und gleichrangige nichttechnische Berufe,Flugverkehrslotsen,Hochspezialisierte Beschäftigte
151,3155,Techniker und gleichrangige nichttechnische Berufe,Flugsicherungstechniker,Hochspezialisierte Beschäftigte
152,3211,Techniker und gleichrangige nichttechnische Berufe,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,Hochspezialisierte Beschäftigte
153,3212,Techniker und gleichrangige nichttechnische Berufe,Medizintechniker im Bereich Labor und Pathologie,Hochspezialisierte Beschäftigte
154,3213,Techniker und gleichrangige nichttechnische Berufe,Pharmazeutisch-technische Assistenten,Hochspezialisierte Beschäftigte
155,3214,Techniker und gleichrangige nichttechnische Berufe,Medizinische und zahnmedizinische Prothetiktechniker,Hochspezialisierte Beschäftigte
156,3221,Techniker und gleichrangige nichttechnische Berufe,Nicht akademische Krankenpflegefachkräfte,Hochspezialisierte Beschäftigte
157,3222,Techniker und gleichrangige nichttechnische Berufe,Nicht akademische Geburtshilfefachkräfte,Hochspezialisierte Beschäftigte
158,3230,Techniker und gleichrangige nichttechnische Berufe,Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin,Hochspezialisierte Beschäftigte
159,3240,Techniker und gleichrangige nichttechnische Berufe,Veterinärmedizinische Fachkräfte und Assistenten,Hochspezialisierte Beschäftigte
160,3251,Techniker und gleichrangige nichttechnische Berufe,Zahnmedizinische Assistenten und Dentalhygieniker,Hochspezialisierte Beschäftigte
