,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
0,110.0,Staatsangestellte,Offiziere in regulären Streitkräften,22030.0,5330.0
1,310.0,Staatsangestellte,Angehörige der regulären Streitkräfte in sonstigen Rängen,107160.0,2627.0
2,1112.0,Top Management,Leitende Verwaltungsbedienstete,15660.0,8746.0
3,1114.0,Top Management,Leitende Bedienstete von Interessenorganisationen,6280.0,6307.0
4,1120.0,Top Management,Geschäftsführer und Vorstände,487470.0,8816.0
5,1211.0,Mittleres Management,Führungskräfte im Bereich Finanzen,61810.0,7988.0
6,1212.0,Mittleres Management,Führungskräfte im Personalwesen,59510.0,6485.5
7,1219.0,Mittleres Management,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",107630.0,5265.0
8,1221.0,Mittleres Management,Führungskräfte in Vertrieb und Marketing,167690.0,7898.0
9,1222.0,Mittleres Management,Führungskräfte in Werbung und Öffentlichkeitsarbeit,33210.0,6321.333333333333
10,1223.0,Mittleres Management,Führungskräfte in Forschung und Entwicklung,14130.0,9725.0
11,1321.0,Mittleres Management,Führungskräfte in der Produktion bei der Herstellung von Waren,140680.0,5852.25
12,1324.0,Mittleres Management,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",96300.0,5075.0
13,1330.0,Mittleres Management,Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,97750.0,8215.666666666666
14,1342.0,Mittleres Management,Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen,55410.0,7263.0
15,1343.0,Mittleres Management,Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung,11460.0,5781.0
16,1345.0,Mittleres Management,Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,32230.0,6616.666666666667
17,1346.0,Mittleres Management,Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen,20200.0,6808.0
18,1349.0,Mittleres Management,"Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt",45710.0,7198.8
19,1412.0,Mittleres Management,Führungskräfte in Restaurants,123700.0,4386.0
20,1431.0,Mittleres Management,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",18000.0,4377.0
21,2111.0,Hochspezialisierte Beschäftigte,Physiker und Astronomen,23150.0,5455.666666666667
22,2112.0,Hochspezialisierte Beschäftigte,Meteorologen,1540.0,5696.0
23,2113.0,Hochspezialisierte Beschäftigte,Chemiker,29400.0,5672.75
24,2114.0,Hochspezialisierte Beschäftigte,Geologen und Geophysiker,11060.0,5330.0
25,2120.0,Hochspezialisierte Beschäftigte,"Mathematiker, Versicherungsmathematiker und Statistiker",27280.0,5828.6
26,2131.0,Hochspezialisierte Beschäftigte,"Biologen, Botaniker, Zoologen und verwandte Berufe",41730.0,5049.75
27,2132.0,Hochspezialisierte Beschäftigte,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",55410.0,5019.0
28,2133.0,Hochspezialisierte Beschäftigte,Umweltwissenschaftler,22060.0,5319.0
29,2141.0,Hochspezialisierte Beschäftigte,Wirtschafts- und Produktionsingenieure,147960.0,7114.75
30,2142.0,Hochspezialisierte Beschäftigte,Bauingenieure,104850.0,5441.923076923077
31,2143.0,Hochspezialisierte Beschäftigte,Umweltschutzingenieure,16750.0,5693.25
32,2144.0,Hochspezialisierte Beschäftigte,Maschinenbauingenieure,293490.0,5871.571428571428
33,2145.0,Hochspezialisierte Beschäftigte,Chemieingenieure,43950.0,5716.1
34,2146.0,Hochspezialisierte Beschäftigte,"Bergbauingenieure, Metallurgen und verwandte Berufe",19660.0,6822.0
35,2149.0,Hochspezialisierte Beschäftigte,"Ingenieure, anderweitig nicht genannt",165580.0,5610.789473684211
36,2151.0,Hochspezialisierte Beschäftigte,Ingenieure im Bereich Elektrotechnik,73570.0,5677.333333333333
37,2152.0,Hochspezialisierte Beschäftigte,Ingenieure im Bereich Elektronik,68680.0,6774.75
38,2161.0,Klassisch selbständige Tätigkeit,Architekten,138950.0,4089.5
39,2162.0,Klassisch selbständige Tätigkeit,Landschaftsarchitekten,17570.0,3753.0
40,2163.0,Klassisch selbständige Tätigkeit,Produkt- und Textildesigner,53810.0,4075.9
41,2164.0,Klassisch selbständige Tätigkeit,"Raum-, Stadt- und Verkehrsplaner",32450.0,5298.666666666667
42,2165.0,Hochspezialisierte Beschäftigte,Kartografen und Vermessungsingenieure,15690.0,5424.0
43,2166.0,Klassisch selbständige Tätigkeit,Grafik- und Multimediadesigner,147230.0,3553.0
44,2211.0,Klassisch selbständige Tätigkeit,Allgemeinärzte,156250.0,7022.0
45,2212.0,Klassisch selbständige Tätigkeit,Fachärzte,255780.0,8718.333333333334
46,2221.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Krankenpflegefachkräfte,34700.0,4954.0
47,2222.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Geburtshilfefachkräfte,25800.0,4042.0
48,2230.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin,34470.0,3256.5
49,2240.0,Hochspezialisierte Beschäftigte,Feldscher und vergleichbare paramedizinische Praktiker,2180.0,4152.0
50,2250.0,Klassisch selbständige Tätigkeit,Tierärzte,34810.0,4243.666666666667
51,2261.0,Klassisch selbständige Tätigkeit,Zahnärzte,71880.0,5289.0
52,2262.0,Klassisch selbständige Tätigkeit,Apotheker,82100.0,5685.5
53,2263.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene,10460.0,5295.333333333333
54,2264.0,Hochspezialisierte Beschäftigte,Physiotherapeuten,198970.0,3483.3333333333335
55,2265.0,Hochspezialisierte Beschäftigte,Diätologen und Ernährungsberater,24430.0,3459.75
56,2266.0,Hochspezialisierte Beschäftigte,Audiologen und Sprachtherapeuten,38950.0,3500.0
