statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;7530;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;12690;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;;Insgesamt;2297230;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;34150;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;56250;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;67300;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;4983680;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;;Insgesamt;8777610;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;/;Anzahl;ERW001;Erwerbstätige;
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;;Insgesamt;4883780;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;120640;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;683860;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;6769420;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-4;Bürokräfte und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;44730;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;17190;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;10610;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;8110;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;;Insgesamt;41043450;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;144160;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;;Insgesamt;9039670;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;/;Anzahl;ERW001;Erwerbstätige;
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;;Insgesamt;2996300;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;7606820;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;271420;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;2225740;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;;Insgesamt;5758410;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;/;Anzahl;ERW001;Erwerbstätige;
