,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
0,11101 Landwirtschaft (o.S.) - Helfer,2222,2282,11101
1,11102 Landwirtschaft (o.S.) - Fachkraft,2550,2609,11102
2,11103 Landwirtschaft (o.S.) - Spezialist,0,,11103
3,11104 Landwirtschaft (o.S.) - Experte,5331,5791,11104
4,11113 Landtechnik - Spezialist,3447,3848,11113
5,11114 Landtechnik - Experte,0,,11114
6,11123 Landwirtsch.Sachverständige - Spezialist,0,,11123
7,11124 Landwirtschaftl. Sachverständige-Experte,8500,9916,11124
8,11132 Landwirtsch.-tech.Laboratorium-Fachkraft,3352,3386,11132
9,11133 Landwirtsch.-tech.Laborat.-Spezialist,4920,4745,11133
10,11182 Landwirtschaft (s.s.T.) - Fachkraft,2630,2763,11182
11,11183 Landwirtschaft (s.s.T.) - Spezialist,4276,4864,11183
12,11184 Landwirtschaft (s.s.T.) - Experte,4850,5342,11184
13,11193 Aufsicht - Landwirtschaft,3000,3227,11193
14,11194 Führung - Landwirtschaft,0,,11194
15,11211 Nutztierhaltung - Helfer,2306,2430,11211
16,11212 Nutztierhaltung - Fachkraft,2527,2618,11212
17,11213 Nutztierhaltung - Spezialist,3802,4034,11213
18,11214 Nutztierhaltung - Experte,1968,3326,11214
19,11222 Geflügelhaltung - Fachkraft,4451,3790,11222
20,11223 Geflügelhaltung - Spezialist,0,,11223
21,11232 Imkerei - Fachkraft,2326,2270,11232
22,11233 Imkerei - Spezialist,0,,11233
23,11282 Tierwirtschaft (s.s.T.) - Fachkraft,0,,11282
24,11283 Tierwirtschaft (s.s.T.) - Spezialist,0,,11283
25,11293 Aufsicht - Tierwirtschaft,0,,11293
26,11294 Führung - Tierwirtschaft,4000,4022,11294
27,11302 Pferdewirtschaft (o.S.) - Fachkraft,1975,2047,11302
28,11312 Pferdewirtschaft-Pferdezucht - Fachkraft,0,,11312
29,11322 Pferdewirtschaft-Reiten - Fachkraft,0,,11322
30,11333 Hufbeschlagschmiede/innen - Spezialist,0,,11333
31,11342 Kutscher/innen - Fachkraft,2852,2853,11342
32,11393 Aufsicht - Pferdewirtschaft,0,,11393
33,11394 Führung - Pferdewirtschaft,0,,11394
34,11401 Fischwirtschaft (o.S.) - Helfer,1685,1886,11401
35,11402 Fischwirtschaft (o.S.) - Fachkraft,2588,2855,11402
36,11412 Fischzucht - Fachkraft,2800,3182,11412
37,11422 Fischerei - Fachkraft,0,,11422
38,11423 Fischerei - Spezialist,0,,11423
39,11424 Fischerei - Experte,0,,11424
40,11493 Aufsicht - Fischwirtschaft,3864,3536,11493
41,11494 Führung - Fischwirtschaft,0,,11494
42,11501 Tierpflege (o.S.) - Helfer,2676,2724,11501
43,11502 Tierpflege (o.S.) - Fachkraft,2995,3040,11502
44,11512 Nutztierpflege - Fachkraft,2254,2427,11512
45,"11522 Haus-, Zootierpflege - Fachkraft",0,,11522
46,11582 Tierpflege (s.s.T.) - Fachkraft,3280,3315,11582
47,11593 Aufsicht - Tierpflege,3475,3687,11593
48,11594 Führung - Tierpflege,0,,11594
49,11602 Weinbau - Fachkraft,2700,2854,11602
50,11603 Weinbau - Spezialist,3390,3503,11603
51,11604 Weinbau - Experte,0,,11604
52,11693 Aufsicht - Weinbau,0,,11693
53,11694 Führung - Weinbau,0,,11694
54,11711 Forstwirtschaft - Helfer,2673,2704,11711
55,11712 Forstwirtschaft - Fachkraft,3322,3329,11712
56,11713 Forstwirtschaft - Spezialist,4958,4979,11713
57,11714 Forstwirtschaft - Experte,5084,5179,11714
58,"11722 Natur-, Landschaftspflege - Fachkraft",3006,3121,11722
59,"11723 Natur-, Landschaftspflege - Spezialist",0,,11723
60,"11724 Natur-, Landschaftspflege - Experte",4852,4861,11724
61,"11732 Jagdwirtschaft, Wildhege - Fachkraft",2850,3065,11732
62,11742 Sammeln von Naturprodukten - Fachkraft,0,,11742
63,"11793 Aufsicht - Forst,Jagd, Landschaftspflege",3589,3648,11793
64,"11794 Führung - Forst,Jagd, Landschaftspflege",5000,5032,11794
65,12101 Gartenbau (o.S.) - Helfer,2444,2437,12101
66,12102 Berufe im Gartenbau (o.S.) - Fachkraft,2925,2980,12102
67,12103 Berufe im Gartenbau (o.S.) - Spezialist,0,,12103
68,12104 Berufe im Gartenbau (o.S.) - Experte,4400,4966,12104
69,"12112 Berufe im Obst-, Gemüsebau - Fachkraft",2430,2501,12112
70,"12113 Berufe im Obst-, Gemüsebau - Spezialist",0,,12113
71,"12122 BaumschuleStauden,Zierpflanzen-Fachkraft",2640,2749,12122
72,12123 BaumschuleStaudenZierpflanzen-Spezialist,3527,3797,12123
73,12132 Friedhofsgärtnerei - Fachkraft,2298,2616,12132
74,12133 Friedhofsgärtnerei - Spezialist,0,,12133
75,12142 GartenLandschaftsSportplatzb.-Fachkraft,2876,3045,12142
76,12143 GartenLandschaftsSportplatzb.-Spezialist,2767,3143,12143
77,"12144 Garten-Landschafts,Sportplatzbau-Experte",3753,4034,12144
78,12193 Aufsicht - Gartenbau,4049,4370,12193
79,12194 Führung - Gartenbau,0,,12194
80,12202 Floristik - Fachkraft,2250,2172,12202
81,12203 Floristik - Spezialist,0,,12203
82,12293 Aufsicht - Floristik,0,,12293
83,12294 Führung - Floristik,3366,4315,12294
84,21111 Berg- und Tagebau - Helfer,0,,21111
85,21112 Berg- und Tagebau - Fachkraft,4282,4640,21112
86,21113 Berg- und Tagebau - Spezialist,5524,5908,21113
87,21114 Berg- und Tagebau - Experte,7542,8093,21114
88,21122 Sprengtechnik - Fachkraft,3823,3778,21122
89,21123 Sprengtechnik - Spezialist,2850,3211,21123
90,21124 Sprengtechnik - Experte,5284,6464,21124
91,"21193 Aufsicht -Berg-,Tagebau, Sprengtechnik",5734,5832,21193
92,"21194 Führung -Berg-,Tagebau, Sprengtechnik",6450,7293,21194
93,"21201 Naturstein,Baustoffherstell (o.S)-Helfer",3089,3157,21201
94,"21212 Naturstein-,Mineralaufbereit.-Fachkraft",3050,3214,21212
95,"21213 Naturstein-,Mineralaufbereit.-Spezialist",0,,21213
96,21222 Baustoffherstellung - Fachkraft,3263,3391,21222
97,21223 Baustoffherstellung - Spezialist,4911,5619,21223
98,21232 Steinmetztechnik - Fachkraft,2757,2891,21232
99,21233 Steinmetztechnik - Spezialist,5073,4858,21233
100,"21293 Aufsicht-Naturstein,Mineral,Baustoffher.",3265,3537,21293
101,21311 Glasherstellung - Helfer,2480,2615,21311
102,21312 Glasherstellung - Fachkraft,3640,3653,21312
103,21313 Glasherstellung - Spezialist,4076,4477,21313
104,21322 Glasapparatebau - Fachkraft,3515,3450,21322
105,21323 Glasapparatebau - Spezialist,0,,21323
106,21332 Industrielle Glasbläserei - Fachkraft,3034,3170,21332
107,21342 Glasveredelung - Fachkraft,2866,3077,21342
108,21352 Glasapparatejustierung - Fachkraft,0,,21352
109,21362 Feinoptik - Fachkraft,3406,3508,21362
110,21363 Feinoptik - Spezialist,4076,4349,21363
111,"21393 Aufsicht-Industri.Glasherst.,-verarbeit.",0,,21393
112,21411 Industriekeramik (Verfahren)-Helfer,2964,3011,21411
113,21412 Industriekeramik (Verfahren)-Fachkraft,3155,3213,21412
114,21413 Industriekeramik(Verfahren)-Spezialist,4156,4534,21413
115,21422 Industriekeramik(Modelltechn.)-Fachkraft,2991,3281,21422
116,21423 Industriekeramik(Modelltechn)-Spezialist,0,,21423
117,21493 Aufsicht-Industrielle Keramikherstellung,4677,4958,21493
118,"22101 Kunststoff-,Kautschukherst. (oS.)-Helfer",2590,2704,22101
119,"22102 Kunststoff-,Kautschukherst(oS)-Fachkraft",3288,3429,22102
120,"22103 Kunststoff-,Kautschukhers(oS)-Spezialist",4537,5186,22103
121,"22104 Kunststoff-,Kautschukherst. (oS)-Experte",6348,6663,22104
122,"22112 Reifen-, Vulkanisationstechnik-Fachkraft",2820,2966,22112
123,"22182 Kunststoff,Kautschukverar(ssT)-Fachkraft",3524,3712,22182
124,"22183 Kunststoff,Kautschukver.(ssT)-Spezialist",0,,22183
125,"22184 Kunststoff,Kautschukverarb.(ssT)-Experte",6767,7034,22184
126,"22193 Aufsicht-Kunststoff,Kautschukher,verarb.",5043,5305,22193
127,"22201 Farb-, Lacktechnik (o.S.) - Helfer",2857,3011,22201
128,"22202 Farb-, Lacktechnik (o.S.) - Fachkraft",3238,3423,22202
129,"22203 Farb-, Lacktechnik (o.S.) - Spezialist",4417,4771,22203
130,"22204 Farb-, Lacktechnik (o.S.) - Experte",6234,6614,22204
131,22212 Fahrzeuglackierung - Fachkraft,3148,3331,22212
132,22222 Lacklaboratorium - Fachkraft,3925,4244,22222
133,"22293 Aufsicht - Farb-, Lacktechnik",4000,4245,22293
134,"22301 Holzbe-, -verarbeitung (o.S.) - Helfer",2632,2669,22301
135,"22302 Holzbe-,-verarbeitung (o.S.) - Fachkraft",3050,3114,22302
136,"22303 Holzbe-,-verarbeitung(o.S.) - Spezialist",4200,4616,22303
137,"22304 Holzbe-, -verarbeitung (o.S.) - Experte",4834,5747,22304
138,"22312 Holztrocknung,-konservierung - Fachkraft",2671,2837,22312
139,"22322 Prod. Holzwerkstoffe,-bauteile-Fachkraft",2890,3041,22322
140,22332 Prod. Fertigprodukte aus Holz -Fachkraft,2772,2800,22332
141,22333 Prod. Fertigprodukte aus Holz-Spezialist,4325,4845,22333
142,"22342 Holz-, Möbel-, Innenausbau - Fachkraft",2950,3057,22342
143,"22343 Holz-, Möbel-, Innenausbau - Spezialist",3050,3485,22343
144,"22352 Flechtwerk,Bürste,Pinselmacher-Fachkraft",2105,2321,22352
145,"22382 Holzbe-, -verarbeitung (ssT) - Fachkraft",2523,2669,22382
146,"22393 Aufsicht - Holzbe-, -verarbeitung",3194,3573,22393
147,"22394 Führung - Holzbe-, -verarbeitung",4552,5472,22394
148,"23101 Papier-,Verpackungstechnik (oS) - Helfer",2686,2887,23101
149,23112 Papierherstellung - Fachkraft,4062,4077,23112
150,23113 Papierherstellung - Spezialist,0,,23113
151,23114 Papierherstellung - Experte,6287,7199,23114
152,"23122 Papierverarb,Verpackungstechn.-Fachkraft",3308,3362,23122
153,"23123 Papierverarb,Verpackungstechn-Spezialist",4259,4489,23123
154,"23124 Papierverarb.,Verpackungstechn.-Experte",5302,5549,23124
155,"23193 Aufsicht - Papier-, Verpackungstechnik",6031,6121,23193
156,"23212 Digital-,Printmediengestaltung-Fachkraft",3127,3294,23212
157,"23213 Digital,Printmediengestaltung-Spezialist",3011,3347,23213
158,"23222 Grafik-Kommunikat.,Fotodesign-Fachkraft",3420,3645,23222
159,"23223 Grafik-Kommunikat.,Fotodesign-Spezialist",3739,4049,23223
160,"23224 Grafik-Kommunikat.,Fotodesign-Experte",3500,4053,23224
161,23282 Techn.Mediengestaltung (ssT) - Fachkraft,3311,3543,23282
162,23293 Aufsicht - Technische Mediengestaltung,0,,23293
163,23294 Führung - Technische Mediengestaltung,3830,4703,23294
164,23312 Fototechnik - Fachkraft,3312,3825,23312
165,23313 Fototechnik - Spezialist,3634,3985,23313
166,23314 Fototechnik - Experte,6804,6605,23314
167,23322 Fotografie - Fachkraft,2700,2987,23322
168,23323 Fotografie - Spezialist,3765,3816,23323
169,23393 Aufsicht - Fototechnik  und Fotografie,0,,23393
170,23411 Drucktechnik - Helfer,2665,2876,23411
171,23412 Drucktechnik - Fachkraft,3195,3394,23412
172,23413 Drucktechnik - Spezialist,4207,4454,23413
173,23414 Drucktechnik - Experte,0,,23414
