Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;VST047__Durchschn_Bruttomonatsverdienste_ohne_Sonderz__EUR;VST052__Mittlere_Bruttomonatsverdienste_ohne_Sonderz__EUR
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11101;Landwirtschaft (oS) - Helfer;2282;2222
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11102;Landwirtschaft (oS) - Fachkraft;2609;2550
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11103;Landwirtschaft (oS) - Spezialist;/;/
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11104;Landwirtschaft (oS) - Experte;5791;5331
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11113;Landtechnik - Spezialist;3848;3447
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11114;Landtechnik - Experte;/;/
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11123;Landwirtschaftliche Sachverständige - Spezialist;/;/
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11124;Landwirtschaftliche Sachverständige - Experte;9916;8500
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11132;Landwirtsch.-techn. Laboratorium - Fachkraft;3386;3352
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11133;Landwirtsch.-techn. Laboratorium - Spezialist;4745;4920
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11182;Landwirtschaft (ssT) - Fachkraft;2763;2630
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11183;Landwirtschaft (ssT) - Spezialist;4864;4276
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11184;Landwirtschaft (ssT) - Experte;5342;4850
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11193;Aufsicht - Landwirtschaft;3227;3000
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11194;Führung - Landwirtschaft;/;/
